Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value,Beta,Select,,analysis_id
Thyroid custom,Thyroid_custom,categorical,,Health-related outcomes > Autoimmune/Inflammatory,,20373,354529,0.0632018300262788,0.0597296245723872,,,categorical-Thyroid_custom-both_sexes--custom
H25.9 Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,20324,374517,0.0632438097755458,0.0703940288379028,,,categorical-41200-both_sexes-H259-
Pravastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1886,392897,0.0636752225946122,-0.203016527470056,,,categorical-20003-both_sexes-1140888648-
Viscotears liquid eye gel,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,889,393894,0.0637585130066201,-0.301956288987078,,,categorical-20003-both_sexes-1140865010-
Carbohydrate,100005,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,56050,,0.0638870280708374,-0.0345826331425877,,,continuous-100005-both_sexes--irnt
W87.1 Diagnostic endoscopic examination of knee joint and biopsy of lesion of knee joint,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,182,394659,0.06400779058819,0.653236656780405,,,categorical-41200-both_sexes-W871-
Q17.1 Endoscopic resection of lesion of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5153,208460,0.0640909354009527,-0.124104957906826,,,categorical-41200-both_sexes-Q171-
Z41.1 Kidney,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1422,393419,0.0642811320864868,-0.230296463588497,,,categorical-41210-both_sexes-Z411-
Mean L3 in anterior corona radiata on FA skeleton (left),25319,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0642898227863245,0.0608595147487764,,,continuous-25319-both_sexes--irnt
Varicose veins,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1445,393338,0.0644343000776757,0.224354572612075,,,categorical-20002-both_sexes-1494-
Trigemminal neuralgia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,169,394614,0.0646562932542912,-0.666496200431194,,,categorical-20002-both_sexes-1523-
Migraine,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,11717,383066,0.0647749972899831,-0.0804150502745163,,,categorical-20002-both_sexes-1265-
Endoscopy / gastroscopy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,7933,386850,0.064808731392403,0.103840420525988,,,categorical-20004-both_sexes-1517-
Calcipotriol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,243,394540,0.0649098127821017,0.569368345598663,,,categorical-20003-both_sexes-1140880086-
total fatty acids,total_fatty_acids,continuous,,Biological samples > Assay results > Blood assays > Biological samples > NMR metabolomics,,94910,,0.0649337303361897,-0.0296368814006456,,,continuous-total_fatty_acids-both_sexes--custom
N84 Polyp of female genital tract,132130,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,13634,199979,0.0652227338323426,-0.073426611298247,,,icd_first_occurrence-132130-both_sexes--
Paracetamol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,73150,321633,0.0653204197022174,-0.0349427423636478,,,categorical-20003-both_sexes-2038460150-
Red blood cell (erythrocyte) distribution width,30070,continuous,,Biological samples > Assay results > Blood assays > Blood count,,383467,,0.0653229920674033,-0.013420695570444,,,continuous-30070-both_sexes--irnt
"O73 Retained placenta and membranes, without haemorrhage",132270,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,242,213371,0.0654531105873415,0.566320780148196,,,icd_first_occurrence-132270-both_sexes--
G21.8 Other specified other operations on oesophagus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,410,394431,0.0656529760185991,0.444759474157369,,,categorical-41210-both_sexes-G218-
E66 Obesity,130792,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,26713,368128,0.0656622758013749,0.0529802298683148,,,icd_first_occurrence-130792-both_sexes--
Mean ICVF in corticospinal tract on FA skeleton (left),25351,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.0656752718575157,0.0654053288392364,,,continuous-25351-both_sexes--irnt
M45.8 Other specified diagnostic endoscopic examination of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1060,393781,0.0657531698745381,-0.260387536266428,,,categorical-41200-both_sexes-M458-
HCadjBMI female custom,HCadjBMI_female_custom,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,212928,,0.0659606381082671,-0.0212039318507085,,,continuous-HCadjBMI_female_custom-females--custom
H16 Keratitis,131150,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,1243,393598,0.0667489015698177,-0.255369138743546,,,icd_first_occurrence-131150-both_sexes--
K40.2 Saphenous vein graft replacement of two coronary arteries,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,307,394534,0.0668016522837045,0.50356244180427,,,categorical-41200-both_sexes-K402-
B99 Other and unspecified infectious diseases,130344,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,579,394262,0.0668350740560266,-0.360026548318845,,,icd_first_occurrence-130344-both_sexes--
Weighted-mean L2 in tract posterior thalamic radiation (right),25616,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16496,,0.0671968198804234,0.0615112425335584,,,continuous-25616-both_sexes--irnt
Epilepsy custom,Epilepsy_custom,categorical,,,,5177,389664,0.0672858575074526,0.121387755799125,,,categorical-Epilepsy_custom-both_sexes--custom
H30 Chorioretinal inflammation,131172,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,177,394664,0.0679248409822861,-0.657406543279389,,,icd_first_occurrence-131172-both_sexes--
Mean L3 in tapetum on FA skeleton (right),25342,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0681509012469134,0.061840374988486,,,continuous-25342-both_sexes--irnt
Rhinoplasty / nose surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2287,392496,0.0683745074855659,-0.177221207553926,,,categorical-20004-both_sexes-1557-
Mean MD in tapetum on FA skeleton (right),25150,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0684687739007967,0.0622429326128601,,,continuous-25150-both_sexes--irnt
Mean ISOVF in superior longitudinal fasciculus on FA skeleton (right),25480,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16496,,0.068540395641222,0.063939387134259,,,continuous-25480-both_sexes--irnt
Fractured/broken bones in last 5 years,2463,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,37911,354806,0.0688386227859158,0.045836630425327,,,categorical-2463-both_sexes--
Losartan potassium+hydrochlorothiazide 50mg/12.5mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,301,394482,0.0690007299429393,0.499822964673947,,,categorical-20003-both_sexes-1141151016-
Central systolic blood pressure during PWA,12677,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,20337,,0.0690835430155792,0.0557873473688902,,,continuous-12677-both_sexes--irnt
lactate,lactate,continuous,,Biological samples > Assay results > Blood assays > Biological samples > NMR metabolomics,,94743,,0.0691497711043955,-0.0272520648531924,,,continuous-lactate-both_sexes--custom
Rectal cancer,20001,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,279,394504,0.0692735940089189,-0.514391162479688,,,categorical-20001-both_sexes-1023-
Volume of grey matter in VI Cerebellum (left),25897,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,18188,,0.0694187502206508,-0.0574985271826045,,,continuous-25897-both_sexes--irnt
Paracetamol + codeine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,319,394464,0.0697132552067224,-0.473660812303536,,,categorical-20003-both_sexes-1140882394-
Tennis elbow / lateral epicondylitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,223,394560,0.0700575754783871,0.557450006436043,,,categorical-20002-both_sexes-1623-
Mean L1 in posterior corona radiata on FA skeleton (left),25227,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,16497,,0.0700906390092362,0.0608618033518274,,,continuous-25227-both_sexes--irnt
FH Heart disease custom,FH_Heart_disease_custom,categorical,,,,176473,204519,0.0703728133238009,0.0294515614678377,,,categorical-FH_Heart_disease_custom-both_sexes--custom
Y90.3 Scanning NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2703,392138,0.0704191696657056,-0.189226461333704,,,categorical-41210-both_sexes-Y903-
H20 Iridocyclitis,131158,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,2067,392774,0.0705781604797647,-0.187329150400129,,,icd_first_occurrence-131158-both_sexes--
Rizatriptan,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,300,394483,0.0705870492219857,-0.485725590341589,,,categorical-20003-both_sexes-1141167932-
Z27.8 Specified upper digestive tract NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1166,393675,0.0710264314837858,-0.286287239712749,,,categorical-41210-both_sexes-Z278-
Luteine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,291,394492,0.0711630731491358,0.496208446743338,,,categorical-20003-both_sexes-1140910640-
Z12.4 Plantar nerve,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,934,393907,0.0713666684593605,-0.27850329897703,,,categorical-41210-both_sexes-Z124-
Respiratory mometasone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,231,394552,0.0715331039706353,0.555113394383502,,,categorical-20003-both_sexes-1141191748-
Type 2 diabetes,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2503,392280,0.0716559083056005,0.171263323742494,,,categorical-20002-both_sexes-1223-
W85.1 Endoscopic removal of loose body from knee joint,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,481,394360,0.0716582353313341,-0.39132962716657,,,categorical-41200-both_sexes-W851-
Y53.4 Approach to organ under fluoroscopic control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,19562,375279,0.0719357384578298,0.0613292458705552,,,categorical-41210-both_sexes-Y534-
U11.7 Magnetic resonance angiography,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,201,394640,0.0720710403031865,0.593367151660023,,,categorical-41210-both_sexes-U117-
O16.1 Pelvis NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6593,388248,0.0723125892415719,-0.102455865316104,,,categorical-41210-both_sexes-O161-
Z47.1 Skin of forehead,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2631,392210,0.0724480917270473,-0.169812131177502,,,categorical-41210-both_sexes-Z471-
Z98.9 Vein of lower limb NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,169,394672,0.0727558771688765,0.644399270746196,,,categorical-41210-both_sexes-Z989-
G64 Other disorders of peripheral nervous system,131090,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,220,394621,0.0729035562265294,0.590158825412333,,,icd_first_occurrence-131090-both_sexes--
O23 Infections of genito-urinary tract in pregnancy,132200,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,237,213376,0.0730607796027921,-0.568728277643821,,,icd_first_occurrence-132200-both_sexes--
Weighted-mean OD in tract posterior thalamic radiation (left),25696,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,16495,,0.0732134084421285,-0.0626485003589141,,,continuous-25696-both_sexes--irnt
S06.4 Shave excision of lesion of skin NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,523,394318,0.0735708594632198,0.383966595388639,,,categorical-41200-both_sexes-S064-
"D89 Other disorders involving the immune mechanism, not elsewhere classified",130688,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,450,394391,0.0737102761368753,0.395547007082136,,,icd_first_occurrence-130688-both_sexes--
R15.9 Unspecified other induction of labour,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,186,213427,0.0737423617970963,0.595186809834499,,,categorical-41210-both_sexes-R159-
Recent poor appetite or overeating,20511,continuous,,Online follow-up > Mental health > Depression,,128130,,0.0738720742204099,-0.0143595611028656,,,continuous-20511-both_sexes--
Q18.8 Other specified diagnostic endoscopic examination of uterus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1499,212114,0.0744191650276145,-0.219873641831783,,,categorical-41210-both_sexes-Q188-
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,7508,383175,0.0744848928180083,-0.101039517883225,,,categorical-6154-both_sexes-4-
